design_name,variant_label,initial_and,initial_lev,heuristic_and,heuristic_lev,final_and,final_lev,total_runtime_sec,peak_memory_kb
tc_public_1/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",207,13,148,10,130,8,14.03928494,15180
tc_public_2/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",34,6,19,4,19,4,15.21261383,18776
tc_public_3/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",208,13,148,11,127,10,14.1699095,23072
tc_public_4/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",145,12,111,9,104,9,14.96784657,23736
tc_public_5/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",128,2,66,2,65,2,14.91455868,23736
tc_public_6/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",256,5,162,4,162,4,14.92278607,23736
tc_public_7/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",252,3,252,3,252,3,15.19902014,23736
tc_public_8/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",193,3,193,3,193,3,15.3749885,23736
tc_public_9/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",224,5,224,5,224,5,15.23546365,23736
tc_public_10/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",192,5,161,4,161,4,14.80511607,15180
tc_public_11/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",1064,6,1064,6,1064,6,15.89602663,15640
tc_public_12/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",1482,15,1368,13,1371,13,15.5318726,15880
tc_public_13/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",1284,17,1065,13,1026,13,15.77257025,15880
tc_public_14/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",6388,29,4282,24,3810,24,19.82273689,18776
tc_public_15/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",931,12,929,10,924,10,16.33525706,18776
tc_public_16/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",45,6,45,6,45,6,14.76214892,18776
tc_public_17/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",93,6,93,6,93,6,14.92119709,18776
tc_public_18/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",525,12,504,12,498,12,15.91660137,18776
tc_public_19/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",5478,18,5355,18,5217,18,21.21488694,18776
tc_public_20/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",5742,20,5616,20,5448,20,17.87654286,18776
tc_public_21/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",5763,20,5637,20,5466,20,18.41095522,18776
tc_public_22/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",11367,20,11172,20,10905,20,27.29900184,23072
tc_public_23/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",1530,263,1530,16,1530,16,17.76558507,23072
tc_public_24/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",223,15,215,8,215,8,15.1345327,23072
tc_public_25/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",101,14,27,4,26,4,14.91438049,23072
tc_public_26/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",1064,32,1064,10,1046,10,16.77223333,23072
tc_public_27/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",576,20,376,7,376,7,15.16791791,23072
tc_public_28/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",576,20,520,7,520,7,15.4617902,23072
tc_public_29/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",121,8,109,7,109,7,14.88088699,23072
tc_public_30/input.blif,"seq=10,iters=10,cpuct=1.0,mu=0.9,",14139,1036,8203,20,4590,22,26.15176232,23736
