rank,algorithm,trial_index,trial_name,summary_path,final_score,design_count,variant_label,compare_aggregate_csv,compare_details_csv,cpuct,mu-discount,search-iterations,seed,sequence-length
1,alphasyn,11,trial_011__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_011__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_011__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_011__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/compare/details.csv,1.0,0.9,20,0,10
2,alphasyn,12,trial_012__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_012__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_012__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_012__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/compare/details.csv,1.0,0.9,20,1,10
3,alphasyn,13,trial_013__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_013__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_013__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_013__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/compare/details.csv,1.0,0.9,20,2,10
4,alphasyn,14,trial_014__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_014__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_014__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_014__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/compare/details.csv,1.0,0.9,20,3,10
5,alphasyn,15,trial_015__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_015__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_015__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_015__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/compare/details.csv,1.0,0.9,20,4,10
6,alphasyn,16,trial_016__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_016__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_016__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_016__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/compare/details.csv,1.0,0.9,20,5,10
7,alphasyn,17,trial_017__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_017__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_017__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_017__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/compare/details.csv,1.0,0.9,20,6,10
8,alphasyn,19,trial_019__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_019__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_019__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_019__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/compare/details.csv,1.0,0.9,20,8,10
9,alphasyn,20,trial_020__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_020__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/workdir/summary.csv,279.0,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_020__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_020__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/compare/details.csv,1.0,0.9,20,9,10
10,alphasyn,1,trial_001__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_001__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_001__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_001__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/compare/details.csv,0.5,0.9,20,0,10
