rank,algorithm,trial_index,trial_name,summary_path,final_score,design_count,variant_label,compare_aggregate_csv,compare_details_csv,and-weight,episodes,lev-weight,seed,steps,ucb-c
1,baseline_mab,2,trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,286.6,30,"steps=10,iters=20,ucb_c=0.4,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/compare/details.csv,0.5,20,0.2,1,10,0.4
2,baseline_mab,22,trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,286.3,30,"steps=10,iters=20,ucb_c=1.5,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5/compare/details.csv,0.5,20,0.2,1,10,1.5
3,baseline_mab,11,trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,286.0,30,"steps=10,iters=20,ucb_c=1.0,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,0,10,1.0
4,baseline_mab,12,trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,286.0,30,"steps=10,iters=20,ucb_c=1.0,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,1,10,1.0
5,baseline_mab,20,trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,286.0,30,"steps=10,iters=20,ucb_c=1.0,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,9,10,1.0
6,baseline_mab,17,trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.8,30,"steps=10,iters=20,ucb_c=1.0,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,6,10,1.0
7,baseline_mab,16,trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.2,30,"steps=10,iters=20,ucb_c=1.0,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,5,10,1.0
8,baseline_mab,18,trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.2,30,"steps=10,iters=20,ucb_c=1.0,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,7,10,1.0
9,baseline_mab,19,trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.2,30,"steps=10,iters=20,ucb_c=1.0,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,8,10,1.0
10,baseline_mab,15,trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.1,30,"steps=10,iters=20,ucb_c=1.0,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0/compare/details.csv,0.5,20,0.2,4,10,1.0
