rank,algorithm,trial_index,trial_name,summary_path,final_score,design_count,variant_label,compare_aggregate_csv,compare_details_csv,and-weight,episodes,lev-weight,seed,steps,ucb-c
1,baseline_mab_prefix,30,trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,284.2,30,"steps=10,iters=20,ucb_c=0.8,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8/compare/details.csv,0.5,20,0.2,9,10,0.8
2,baseline_mab_prefix,11,trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,284.09999999999997,30,"steps=10,iters=20,ucb_c=0.4,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/compare/details.csv,0.5,20,0.2,0,10,0.4
3,baseline_mab_prefix,4,trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,284.0,30,"steps=10,iters=20,ucb_c=0.2,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2/compare/details.csv,0.5,20,0.2,3,10,0.2
4,baseline_mab_prefix,20,trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.9,30,"steps=10,iters=20,ucb_c=0.4,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/compare/details.csv,0.5,20,0.2,9,10,0.4
5,baseline_mab_prefix,29,trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,283.9,30,"steps=10,iters=20,ucb_c=0.8,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8/compare/details.csv,0.5,20,0.2,8,10,0.8
6,baseline_mab_prefix,6,trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,283.7,30,"steps=10,iters=20,ucb_c=0.2,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2/compare/details.csv,0.5,20,0.2,5,10,0.2
7,baseline_mab_prefix,14,trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.7,30,"steps=10,iters=20,ucb_c=0.4,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/compare/details.csv,0.5,20,0.2,3,10,0.4
8,baseline_mab_prefix,17,trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.7,30,"steps=10,iters=20,ucb_c=0.4,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/compare/details.csv,0.5,20,0.2,6,10,0.4
9,baseline_mab_prefix,8,trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,283.59999999999997,30,"steps=10,iters=20,ucb_c=0.2,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2/compare/details.csv,0.5,20,0.2,7,10,0.2
10,baseline_mab_prefix,10,trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,283.4,30,"steps=10,iters=20,ucb_c=0.2,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2/compare/details.csv,0.5,20,0.2,9,10,0.2
