design,rank,algorithm,variant_label,final_score,active_weight_sum,and,and_rank,and_score,lev,lev_rank,lev_score,runtime,runtime_rank,runtime_score,memory,memory_rank,memory_score
tc_public_1/input.blif,1,baseline_mab_prefix,"steps=10,iters=20,ucb_c=0.2,seed=5",7.5,1.0,126.0,1,10,9.0,87,5,9.66,40,5,21080.0,36,5
tc_public_1/input.blif,1,baseline_mab_prefix,"steps=10,iters=20,ucb_c=0.4,seed=5",7.5,1.0,126.0,1,10,9.0,87,5,10.11,44,5,21236.0,39,5
tc_public_1/input.blif,1,baseline_mab_prefix,"steps=10,iters=20,ucb_c=0.8,seed=5",7.5,1.0,126.0,1,10,9.0,87,5,10.54,56,5,21240.0,47,5
tc_public_1/input.blif,4,baseline_mab,"steps=10,iters=20,ucb_c=1.0,seed=0",7.2,1.0,128.0,4,7,8.0,1,10,0.92,13,5,15120.0,4,7
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,78.61,82,5,23164.0,76,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,78.67,84,5,23160.0,73,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,78.84,87,5,23164.0,76,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,79.61,89,5,23000.0,66,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,78.61,82,5,23520.0,90,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,78.67,84,5,23324.0,88,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,78.58,80,5,23320.0,87,5
tc_public_1/input.blif,5,alphasyn,"seq=10,iters=20,cpuct=1.0,mu=0.9,",7.0,1.0,128.0,4,7,8.0,1,10,79.66,90,5,23160.0,73,5
