design_name,variant_label,initial_and,initial_lev,heuristic_and,heuristic_lev,final_and,final_lev,total_runtime_sec,peak_memory_kb
tc_public_1/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",207,13,148,10,138,8,10.72076388,15180
tc_public_2/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",34,6,19,4,18,4,10.60880206,18776
tc_public_3/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",208,13,148,11,119,11,9.404874598,22916
tc_public_4/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",145,12,111,9,104,9,10.86122006,23736
tc_public_5/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",128,2,66,2,65,2,10.626892,23736
tc_public_6/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",256,5,162,4,162,4,10.62270326,23736
tc_public_7/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",252,3,252,3,252,3,10.65216797,23736
tc_public_8/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",193,3,193,3,193,3,10.66835465,23736
tc_public_9/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",224,5,224,5,224,5,10.72773797,23736
tc_public_10/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",192,5,161,4,161,4,10.53878499,15376
tc_public_11/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",1064,6,1064,6,1064,6,11.28386011,15480
tc_public_12/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",1482,15,1368,13,1358,13,9.950242035,16040
tc_public_13/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",1284,17,1065,13,1058,13,11.20866189,16040
tc_public_14/input.blif,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",6388,29,4282,24,3810,24,13.75634905,18776
