file,variant_label,and,lev,runtime_sec,peak_memory_kb
bfly.abc.blif,"steps=10,iters=20,ucb_c=2.0,seed=2",24877,69,23.044,-
dscg.abc.blif,"steps=10,iters=20,ucb_c=2.0,seed=2",23981,70,23.380,-
fir.abc.blif,"steps=10,iters=20,ucb_c=2.0,seed=2",23845,68,24.811,-
ode.abc.blif,"steps=10,iters=20,ucb_c=2.0,seed=2",14053,72,13.446,-
or1200.abc.blif,"steps=10,iters=20,ucb_c=2.0,seed=2",10870,130,7.001,-
syn2.abc.blif,"steps=10,iters=20,ucb_c=2.0,seed=2",25287,71,24.056,-
tc_public_1/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",139,8,0.990,15120
tc_public_2/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",18,4,0.880,14916
tc_public_3/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",129,10,0.970,15120
tc_public_4/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",105,9,0.950,15052
tc_public_5/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",65,2,0.900,15188
tc_public_6/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",162,4,0.910,15412
tc_public_7/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",252,3,0.940,15492
tc_public_8/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",193,3,0.910,16936
tc_public_9/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",224,5,0.950,17168
tc_public_10/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",161,4,0.880,16744
tc_public_11/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",1064,6,1.220,15672
tc_public_12/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",1350,13,1.470,16128
tc_public_13/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",1043,13,1.250,15852
tc_public_14/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",3983,25,4.300,19124
tc_public_15/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",927,10,1.410,16380
tc_public_16/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",45,6,0.860,14820
tc_public_17/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",93,6,0.900,16012
tc_public_18/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",504,12,1.310,14852
tc_public_19/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",5322,18,6.500,18548
tc_public_20/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",5613,20,6.980,18620
tc_public_21/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",5634,20,6.980,18804
tc_public_22/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",11172,20,12.520,23076
tc_public_23/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",1530,16,1.790,17692
tc_public_24/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",215,8,0.910,15948
tc_public_25/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",26,4,0.880,14892
tc_public_26/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",1064,10,1.650,15608
tc_public_27/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",376,7,1.010,15072
tc_public_28/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",520,7,1.070,15028
tc_public_29/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",109,7,0.880,14908
tc_public_30/input.blif,"steps=10,iters=20,ucb_c=1.5,seed=0",5871,21,14.570,26232
