file,variant_label,and,lev,runtime_sec,peak_memory_kb
tc_public_1/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",138,8,2.616,14140
tc_public_2/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",18,4,2.451,13872
tc_public_3/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",128,11,2.516,14148
tc_public_4/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",103,9,2.462,14012
tc_public_5/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",65,2,2.354,14276
tc_public_6/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",162,4,2.553,14348
tc_public_7/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",252,3,2.499,14464
tc_public_8/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",193,3,2.548,14280
tc_public_9/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",224,5,2.527,14356
tc_public_10/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",161,4,2.48,14268
tc_public_11/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",1064,6,2.631,14944
tc_public_12/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",1382,13,2.798,15164
tc_public_13/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",1043,13,2.682,15012
tc_public_14/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",4027,24,3.915,18136
tc_public_15/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",924,10,2.725,14688
tc_public_16/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",45,6,2.471,13844
tc_public_17/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",93,6,2.49,13816
tc_public_18/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",498,12,2.761,14104
tc_public_19/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",5226,18,5.108,17336
tc_public_20/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",5463,20,5.281,17496
tc_public_21/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",5481,20,5.23,17496
tc_public_22/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",10926,20,7.805,22160
tc_public_23/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",1530,16,2.826,15312
tc_public_24/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",215,8,2.466,14080
tc_public_25/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",26,4,2.426,14008
tc_public_26/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",1052,10,2.913,14704
tc_public_27/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",376,7,2.468,14152
tc_public_28/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",520,7,2.505,14200
tc_public_29/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",109,7,2.45,14004
tc_public_30/input.blif,"steps=10,iters=10,ucb_c=0.4,seed=0",7144,20,8.634,23736
