design_name,variant_label,initial_and,initial_lev,heuristic_and,heuristic_lev,final_and,final_lev,total_runtime_sec,peak_memory_kb
tc_public_1/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",207,13,148,10,139,8,1.861821547,14868
tc_public_2/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",34,6,19,4,19,4,1.692864726,18648
tc_public_3/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",208,13,148,11,127,11,1.832424345,22360
tc_public_4/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",145,12,111,9,106,9,1.791446546,25220
tc_public_5/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",128,2,66,2,65,2,1.835868547,25220
tc_public_6/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",256,5,162,4,162,4,1.796001409,25220
tc_public_7/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",252,3,252,3,252,3,1.794597229,25220
tc_public_8/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",193,3,193,3,193,3,1.773529862,25220
tc_public_9/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",224,5,224,5,224,5,1.832524284,25220
tc_public_10/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",192,5,161,4,161,4,1.710753185,15056
tc_public_11/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",1064,6,1064,6,1064,6,2.125897456,15540
tc_public_12/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",1482,15,1368,13,1354,13,2.578751694,15636
tc_public_13/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",1284,17,1065,13,1058,13,2.338559379,15636
tc_public_14/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",6388,29,4282,24,4043,25,7.161011451,18648
tc_public_15/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",931,12,929,10,928,10,2.234288854,18648
tc_public_16/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",45,6,45,6,45,6,1.674063123,18648
tc_public_17/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",93,6,93,6,93,6,1.698053721,18648
tc_public_18/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",525,12,504,12,501,12,2.417545842,18648
tc_public_19/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",5478,18,5355,18,5256,18,11.28728425,18648
tc_public_20/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",5742,20,5616,20,5508,20,11.77388508,18648
tc_public_21/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",5763,20,5637,20,5532,20,11.94450062,18648
tc_public_22/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",11367,20,11172,20,11118,20,21.84226925,22360
tc_public_23/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",1530,263,1530,16,1530,16,2.722724497,22360
tc_public_24/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",223,15,215,8,215,8,1.820583251,22360
tc_public_25/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",101,14,27,4,26,4,1.81036503,22360
tc_public_26/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",1064,32,1064,10,1064,10,2.458743609,22360
tc_public_27/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",576,20,376,7,376,7,1.917410548,22360
tc_public_28/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",576,20,520,7,520,7,1.953530868,22360
tc_public_29/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",121,8,109,7,109,7,1.737239208,22360
tc_public_30/input.blif,"seq=10,iters=100,min_temp=0.001,seed=0",14139,1036,8203,20,5925,22,15.99159181,25220
